Num_Children,Gender,Income,Own_Car,Own_Housing,Credit_Card_Issuing
1,Female,90217,No,Yes,Approved
2,Male,58545,Yes,Yes,Denied
1,Female,65953,No,Yes,Denied
1,Male,72218,No,Yes,Approved
3,Female,40427,Yes,Yes,Denied
3,Female,36352,No,No,Denied
0,Female,65324,Yes,No,Denied
2,Male,115636,No,Yes,Approved
3,Female,42610,No,Yes,Denied
3,Female,45940,No,Yes,Denied
2,Male,99117,Yes,Yes,Approved
1,Female,72617,Yes,No,Denied
3,Male,102328,Yes,No,Approved
1,Male,71721,Yes,Yes,Approved
2,Male,109080,Yes,No,Approved
3,Male,55661,Yes,Yes,Denied
1,Male,89425,Yes,No,Approved
3,Male,80876,Yes,Yes,Approved
2,Male,70123,No,Yes,Denied
2,Male,115724,Yes,No,Approved
3,Female,91698,No,No,Approved
0,Male,98624,Yes,No,Approved
3,Male,100783,Yes,No,Approved
3,Female,78021,Yes,Yes,Approved
1,Female,34511,Yes,No,Denied
4,Female,90409,No,Yes,Approved
1,Female,46070,Yes,No,Denied
1,Male,58301,No,No,Denied
1,Female,90927,No,No,Denied
2,Male,104763,Yes,Yes,Approved
2,Male,81991,Yes,No,Approved
3,Female,51117,No,Yes,Denied
0,Female,89931,Yes,No,Approved
3,Female,52810,Yes,No,Denied
2,Male,65548,Yes,Yes,Denied
2,Female,57304,No,No,Denied
3,Male,108321,Yes,No,Approved
2,Female,63867,Yes,No,Denied
2,Female,30481,No,No,Denied
0,Male,61898,No,No,Denied
0,Female,55098,Yes,No,Denied
0,Female,87159,No,No,Approved
4,Female,80587,Yes,No,Denied
2,Male,95174,Yes,No,Approved
2,Male,64473,Yes,No,Denied
0,Male,118760,Yes,No,Approved
2,Female,56086,Yes,Yes,Denied
0,Male,109081,Yes,Yes,Approved
7,Male,59428,Yes,Yes,Denied
3,Female,88002,No,No,Denied
1,Male,40548,Yes,Yes,Denied
2,Female,36167,Yes,No,Denied
2,Male,109327,No,No,Approved
1,Female,55645,Yes,No,Denied
3,Female,95311,No,No,Approved
3,Male,55450,Yes,No,Denied
2,Female,68680,Yes,No,Denied
0,Male,118941,Yes,Yes,Approved
1,Male,103086,Yes,No,Approved
1,Female,97626,No,No,Approved
1,Male,111296,Yes,Yes,Approved
3,Male,108338,Yes,Yes,Approved
6,Female,85522,Yes,No,Denied
3,Male,58741,Yes,Yes,Denied
1,Male,58223,No,No,Denied
4,Female,97262,Yes,No,Approved
1,Male,108470,Yes,Yes,Approved
1,Female,72465,No,No,Denied
2,Female,88696,Yes,No,Approved
1,Male,68292,Yes,No,Denied
0,Female,79886,Yes,Yes,Approved
1,Female,79538,Yes,No,Denied
0,Male,46998,Yes,Yes,Denied
2,Male,87284,Yes,Yes,Approved
1,Male,53864,Yes,Yes,Denied
2,Female,59165,Yes,No,Denied
1,Female,50055,No,No,Denied
0,Male,85870,No,Yes,Approved
1,Female,77116,Yes,No,Denied
1,Male,59926,Yes,Yes,Denied
3,Female,97527,Yes,No,Approved
2,Female,90071,No,No,Denied
2,Female,35719,No,No,Denied
3,Female,46283,No,No,Denied
4,Female,83761,Yes,Yes,Approved
2,Female,78104,Yes,No,Denied
2,Male,114578,Yes,No,Approved
3,Male,101150,No,Yes,Approved
3,Female,35002,No,No,Denied
2,Female,82614,Yes,Yes,Denied
2,Female,37949,No,No,Denied
1,Male,71249,Yes,Yes,Denied
3,Male,41530,Yes,Yes,Denied
2,Male,112787,Yes,No,Approved
4,Female,69799,No,No,Denied
2,Male,103940,Yes,No,Approved
6,Male,54800,Yes,Yes,Denied
3,Female,59486,Yes,No,Denied
4,Female,49723,Yes,Yes,Denied
4,Male,66083,Yes,No,Denied
1,Female,35815,Yes,No,Denied
1,Female,38393,Yes,Yes,Denied
5,Female,88798,No,No,Denied
2,Male,61049,Yes,No,Denied
4,Female,30610,No,No,Denied
1,Female,93351,No,No,Approved
5,Male,115722,No,Yes,Approved
4,Female,54162,Yes,No,Denied
5,Female,47506,No,No,Denied
2,Female,95057,Yes,No,Approved
1,Male,94736,Yes,Yes,Approved
0,Male,92418,Yes,Yes,Approved
2,Male,69752,Yes,No,Denied
1,Male,90227,Yes,Yes,Approved
1,Male,80677,Yes,No,Approved
1,Female,91908,No,No,Approved
5,Male,76495,No,Yes,Approved
1,Male,41918,Yes,Yes,Denied
2,Male,93180,Yes,No,Approved
1,Male,52249,Yes,No,Denied
2,Male,97776,Yes,Yes,Approved
3,Male,62018,Yes,No,Denied
3,Female,40803,No,No,Denied
1,Female,46056,No,No,Denied
0,Male,55051,Yes,No,Denied
0,Female,71818,Yes,No,Denied
2,Female,40817,No,No,Denied
3,Male,56294,Yes,No,Denied
1,Female,39357,Yes,No,Denied
0,Male,109424,No,No,Approved
2,Male,110969,Yes,Yes,Approved
1,Male,103747,Yes,Yes,Approved
3,Female,62251,Yes,No,Denied
2,Male,44945,No,No,Denied
2,Female,66861,Yes,Yes,Denied
3,Female,69680,No,No,Denied
2,Male,110609,Yes,Yes,Approved
3,Male,42456,No,Yes,Denied
1,Female,94994,No,No,Approved
2,Male,55975,Yes,Yes,Denied
1,Female,87518,Yes,Yes,Approved
1,Male,103503,Yes,No,Approved
3,Female,86205,No,Yes,Approved
0,Male,92961,Yes,Yes,Approved
1,Female,34653,No,Yes,Denied
1,Male,69702,Yes,Yes,Denied
2,Female,40380,No,No,Denied
1,Female,99208,No,No,Approved
4,Female,87665,No,No,Denied
1,Female,48770,Yes,Yes,Denied
5,Female,75131,Yes,Yes,Denied
1,Male,78389,Yes,Yes,Approved
2,Female,49754,No,No,Denied
1,Female,81599,Yes,No,Denied
5,Male,63892,No,No,Denied
1,Female,83628,No,Yes,Denied
4,Male,108418,Yes,No,Approved
3,Female,67794,Yes,Yes,Denied
1,Male,119515,No,No,Approved
1,Female,37483,Yes,No,Denied
2,Male,86471,Yes,Yes,Approved
1,Female,44685,Yes,No,Denied
1,Male,80378,Yes,No,Approved
1,Female,50915,Yes,No,Denied
0,Female,36005,No,Yes,Denied
4,Male,80625,Yes,No,Approved
1,Male,42291,Yes,Yes,Denied
2,Male,59410,Yes,Yes,Denied
0,Female,90258,No,Yes,Approved
1,Female,70043,Yes,Yes,Denied
2,Male,71750,Yes,No,Denied
2,Female,69695,No,No,Denied
1,Male,49830,Yes,Yes,Denied
4,Male,48273,Yes,No,Denied
0,Female,31889,No,No,Denied
2,Male,97104,Yes,No,Approved
2,Male,100396,Yes,No,Approved
3,Female,91236,Yes,Yes,Approved
2,Female,72979,Yes,Yes,Denied
1,Male,83279,Yes,No,Approved
0,Female,86917,No,Yes,Approved
4,Female,76331,Yes,No,Denied
0,Female,95438,No,No,Approved
3,Female,38302,Yes,Yes,Denied
0,Female,92856,Yes,Yes,Approved
0,Male,118550,Yes,Yes,Approved
3,Male,72463,Yes,No,Denied
1,Male,88537,Yes,No,Approved
1,Male,46347,Yes,Yes,Denied
3,Male,59057,Yes,No,Denied
1,Male,93139,Yes,Yes,Approved
5,Male,92008,Yes,No,Approved
3,Male,71334,Yes,No,Denied
1,Female,56603,No,No,Denied
1,Male,94945,Yes,Yes,Approved
1,Female,70801,Yes,No,Denied
3,Female,68405,Yes,No,Denied
1,Male,43452,No,No,Denied
3,Female,51099,No,Yes,Denied
3,Male,116490,Yes,Yes,Approved
5,Female,78338,Yes,No,Denied
4,Male,76616,No,Yes,Approved
2,Female,40821,Yes,No,Denied
0,Female,76685,Yes,No,Denied
5,Male,41719,Yes,No,Denied
0,Female,81026,Yes,No,Denied
2,Female,73132,Yes,No,Denied
2,Male,52888,Yes,Yes,Denied
0,Male,60647,Yes,No,Denied
0,Male,94644,Yes,Yes,Approved
1,Male,104616,Yes,Yes,Approved
2,Female,95483,Yes,No,Approved
4,Female,31732,Yes,No,Denied
1,Female,46034,No,Yes,Denied
2,Female,92099,No,No,Approved
2,Male,90890,Yes,No,Approved
5,Male,95390,Yes,Yes,Approved
3,Female,55272,Yes,Yes,Denied
2,Male,94184,Yes,No,Approved
4,Female,92793,No,No,Approved
1,Male,41727,Yes,No,Denied
3,Female,39493,Yes,No,Denied
2,Female,33532,No,No,Denied
2,Male,58533,Yes,Yes,Denied
4,Female,52559,Yes,Yes,Denied
2,Male,65869,Yes,Yes,Denied
4,Male,44130,No,No,Denied
4,Male,42843,No,Yes,Denied
1,Male,70563,Yes,Yes,Denied
1,Female,67798,No,No,Denied
1,Male,89811,Yes,Yes,Approved
2,Female,77889,Yes,Yes,Approved
4,Male,114104,Yes,No,Approved
1,Female,60699,Yes,No,Denied
1,Female,78149,No,No,Denied
2,Female,93671,No,No,Approved
3,Female,38968,Yes,No,Denied
3,Male,104497,Yes,Yes,Approved
2,Male,55675,Yes,Yes,Denied
1,Male,60132,No,Yes,Denied
3,Male,89378,Yes,No,Approved
3,Female,46139,No,No,Denied
0,Female,60262,Yes,No,Denied
0,Female,59630,Yes,Yes,Denied
2,Male,89121,No,Yes,Approved
5,Male,75213,Yes,No,Denied
2,Male,69135,Yes,Yes,Denied
2,Male,75393,Yes,Yes,Approved
0,Male,105901,No,No,Approved
3,Female,83865,Yes,Yes,Approved
0,Female,51685,Yes,No,Denied
1,Female,40198,Yes,Yes,Denied
3,Male,42019,No,No,Denied
3,Female,59001,No,Yes,Denied
2,Female,92797,Yes,No,Approved
1,Female,77406,No,No,Denied
2,Male,100948,Yes,No,Approved
4,Male,82415,Yes,No,Approved
3,Male,83993,No,No,Approved
0,Female,35289,Yes,No,Denied
3,Male,40837,Yes,Yes,Denied
1,Male,103922,Yes,Yes,Approved
3,Male,98454,Yes,Yes,Approved
3,Female,46803,No,No,Denied
0,Male,104724,Yes,Yes,Approved
3,Male,97957,Yes,Yes,Approved
2,Female,62239,Yes,Yes,Denied
1,Female,35657,Yes,No,Denied
2,Female,37225,No,No,Denied
1,Male,91497,Yes,No,Approved
1,Male,99601,No,Yes,Approved
2,Female,52671,Yes,Yes,Denied
1,Male,102062,Yes,No,Approved
2,Female,74435,Yes,No,Denied
1,Male,110785,Yes,Yes,Approved
0,Female,94528,Yes,No,Approved
2,Female,36773,No,Yes,Denied
1,Male,102434,Yes,No,Approved
3,Female,42127,Yes,Yes,Denied
2,Female,72774,Yes,Yes,Denied
4,Female,55808,No,No,Denied
2,Male,84905,Yes,No,Approved
2,Female,66341,No,No,Denied
4,Male,107947,Yes,No,Approved
1,Female,31238,No,Yes,Denied
2,Male,113865,No,No,Approved
6,Female,69018,Yes,No,Denied
2,Female,87523,No,No,Denied
2,Male,82840,Yes,No,Approved
1,Male,83141,Yes,Yes,Approved
2,Female,66088,Yes,No,Denied
3,Male,63581,Yes,Yes,Denied
3,Male,71622,No,Yes,Denied
3,Female,87920,Yes,No,Denied
5,Female,84558,Yes,Yes,Approved
2,Female,41215,Yes,No,Denied
2,Male,84331,Yes,Yes,Approved
1,Female,92834,Yes,Yes,Approved
1,Male,61436,No,No,Denied
2,Female,70593,No,No,Denied
1,Male,58556,Yes,No,Denied
1,Male,91160,Yes,No,Approved
2,Female,51420,No,No,Denied
2,Female,79219,Yes,No,Denied
0,Female,89399,Yes,Yes,Approved
3,Male,54684,Yes,No,Denied
3,Female,76002,No,No,Denied
5,Female,38684,Yes,No,Denied
0,Female,89794,No,No,Denied
3,Male,70450,Yes,Yes,Denied
0,Female,71585,Yes,No,Denied
2,Male,45553,Yes,Yes,Denied
3,Male,66483,Yes,No,Denied
1,Female,61474,No,No,Denied
1,Female,80630,Yes,Yes,Denied
2,Female,44191,Yes,No,Denied
1,Male,77069,No,Yes,Approved
3,Female,69085,No,No,Denied
2,Female,94427,No,No,Approved
3,Female,68523,Yes,Yes,Denied
1,Male,60131,Yes,No,Denied
2,Female,63308,No,No,Denied
1,Female,76193,Yes,No,Denied
4,Male,111766,Yes,No,Approved
2,Male,68744,Yes,Yes,Denied
3,Female,66940,No,No,Denied
4,Male,98729,Yes,No,Approved
2,Male,80391,Yes,No,Denied
1,Male,87677,Yes,Yes,Approved
1,Male,75174,No,Yes,Approved
2,Male,81303,Yes,No,Approved
2,Female,87199,No,No,Approved
1,Female,76463,Yes,No,Denied
0,Male,56967,No,Yes,Denied
3,Female,82902,Yes,Yes,Approved
4,Female,64129,Yes,Yes,Denied
2,Male,49980,No,Yes,Denied
3,Male,77256,No,No,Denied
1,Male,42054,Yes,Yes,Denied
2,Male,80882,Yes,Yes,Approved
0,Male,68876,Yes,Yes,Denied
3,Male,74668,Yes,No,Approved
0,Male,82522,No,No,Approved
4,Male,44457,Yes,No,Denied
3,Male,54807,Yes,No,Denied
2,Female,36952,Yes,Yes,Denied
2,Female,58691,Yes,No,Denied
2,Male,85263,Yes,No,Approved
2,Male,53787,Yes,No,Denied
4,Female,94668,Yes,No,Approved
3,Female,85524,No,No,Denied
1,Male,98512,Yes,No,Approved
3,Male,67103,No,Yes,Denied
3,Male,66436,Yes,No,Denied
2,Female,77131,No,No,Denied
3,Male,115058,Yes,No,Approved
1,Male,86962,Yes,Yes,Approved
1,Female,82911,Yes,Yes,Approved
2,Male,67282,Yes,Yes,Denied
3,Female,36530,Yes,No,Denied
4,Male,103333,Yes,No,Approved
2,Male,44882,Yes,Yes,Denied
1,Male,45035,Yes,Yes,Denied
2,Male,48536,Yes,Yes,Denied
3,Male,117473,Yes,Yes,Approved
2,Female,81714,No,No,Denied
2,Male,111318,Yes,No,Approved
2,Female,68034,Yes,Yes,Denied
2,Female,82291,Yes,Yes,Denied
0,Female,83717,Yes,Yes,Approved
0,Female,65116,Yes,Yes,Denied
4,Male,79690,Yes,No,Approved
0,Male,41689,Yes,Yes,Denied
2,Female,40765,Yes,No,Denied
1,Male,93722,No,Yes,Approved
1,Male,87106,Yes,Yes,Approved
3,Female,36785,Yes,No,Denied
2,Female,86658,Yes,No,Denied
1,Female,37669,No,No,Denied
6,Male,118901,Yes,Yes,Approved
1,Female,52320,No,No,Denied
2,Male,115391,Yes,No,Approved
4,Male,97668,Yes,Yes,Approved
4,Female,96351,No,Yes,Approved
2,Male,95983,Yes,No,Approved
2,Female,77121,No,Yes,Denied
4,Female,57136,No,No,Denied
2,Female,84073,No,No,Denied
3,Female,96592,Yes,Yes,Approved
1,Male,44280,Yes,No,Denied
2,Female,77563,Yes,No,Denied
1,Female,87075,No,No,Denied
2,Female,48725,Yes,No,Denied
2,Female,66559,No,No,Denied
2,Female,37132,No,Yes,Denied
4,Female,39168,No,Yes,Denied
3,Female,94512,Yes,No,Approved
0,Male,91116,Yes,No,Approved
0,Female,69190,Yes,No,Denied
2,Female,93725,No,No,Approved
3,Male,58498,Yes,Yes,Denied
1,Male,57814,No,No,Denied
4,Male,51974,Yes,Yes,Denied
4,Male,82838,Yes,Yes,Approved
1,Male,118602,Yes,Yes,Approved
2,Female,86990,No,Yes,Approved
1,Female,35415,No,Yes,Denied
2,Male,83915,Yes,Yes,Approved
5,Male,114440,Yes,No,Approved
4,Female,36491,No,No,Denied
1,Female,53238,Yes,No,Denied
3,Female,56165,Yes,No,Denied
3,Female,98193,Yes,No,Approved
3,Male,116554,No,Yes,Approved
2,Male,83455,Yes,Yes,Approved
2,Male,65214,Yes,Yes,Denied
3,Female,70537,Yes,No,Denied
2,Male,71125,Yes,No,Denied
2,Male,53256,No,No,Denied
2,Male,115090,Yes,Yes,Approved
2,Male,83502,Yes,No,Approved
3,Male,105118,Yes,No,Approved
2,Male,84483,Yes,Yes,Approved
1,Female,37564,Yes,No,Denied
2,Female,50451,No,No,Denied
2,Male,110737,Yes,No,Approved
1,Male,70048,Yes,No,Denied
4,Male,87517,No,No,Approved
1,Male,118278,Yes,No,Approved
1,Female,91875,Yes,No,Approved
5,Female,69419,Yes,Yes,Denied
5,Female,66353,Yes,No,Denied
3,Female,94285,No,No,Approved
2,Female,91031,Yes,No,Approved
2,Female,70567,Yes,Yes,Denied
0,Female,84360,Yes,No,Denied
2,Male,93864,No,No,Approved
4,Male,84474,No,Yes,Approved
1,Male,73954,Yes,No,Denied
1,Female,54180,Yes,No,Denied
5,Female,38064,Yes,No,Denied
1,Male,46759,No,No,Denied
3,Female,43645,No,No,Denied
0,Male,86940,Yes,Yes,Approved
2,Female,48124,Yes,No,Denied
2,Female,86591,No,No,Approved
3,Male,84026,Yes,Yes,Approved
1,Female,44400,No,No,Denied
2,Female,32378,No,No,Denied
0,Female,42153,No,Yes,Denied
3,Female,94228,Yes,No,Approved
1,Male,40572,Yes,No,Denied
3,Male,60242,Yes,Yes,Denied
3,Female,85600,Yes,Yes,Approved
3,Female,71447,Yes,No,Denied
2,Male,71133,Yes,No,Denied
0,Female,53858,Yes,Yes,Denied
3,Male,108816,No,Yes,Approved
2,Male,106890,Yes,No,Approved
2,Male,41393,No,No,Denied
1,Male,87791,Yes,No,Approved
0,Female,50461,Yes,No,Denied
1,Male,60994,Yes,No,Denied
2,Male,80320,Yes,Yes,Approved
2,Female,85603,No,No,Denied
2,Female,70223,No,No,Denied
3,Female,32942,Yes,Yes,Denied
4,Male,53607,Yes,Yes,Denied
1,Female,82821,Yes,No,Denied
6,Female,52488,No,Yes,Denied
3,Male,85524,Yes,No,Approved
1,Male,49805,Yes,Yes,Denied
1,Male,67845,Yes,Yes,Denied
3,Female,75195,No,Yes,Denied
0,Female,43647,Yes,No,Denied
4,Male,47742,Yes,Yes,Denied
1,Female,80637,Yes,No,Denied
4,Female,79008,Yes,Yes,Denied
0,Female,31105,No,No,Denied
4,Female,39971,Yes,No,Denied
2,Female,77061,No,No,Denied
3,Male,103446,Yes,No,Approved
0,Female,66806,No,No,Denied
5,Male,50691,No,No,Denied
4,Female,55741,No,No,Denied
1,Female,54139,No,No,Denied
4,Female,44709,Yes,No,Denied
3,Female,97381,Yes,No,Approved
5,Male,86219,No,No,Approved
3,Female,62819,Yes,No,Denied
1,Male,98379,Yes,Yes,Approved
1,Female,91485,Yes,No,Approved
3,Female,35950,Yes,No,Denied
1,Male,69589,No,No,Denied
5,Female,31889,No,No,Denied
1,Male,47384,No,No,Denied
0,Female,98556,Yes,No,Approved
2,Female,59958,Yes,Yes,Denied
1,Male,110147,Yes,No,Approved
3,Female,89883,No,No,Approved
2,Female,80501,Yes,No,Denied
2,Male,93610,Yes,Yes,Approved
2,Male,113357,No,No,Approved
0,Male,106286,Yes,No,Approved
3,Male,41092,Yes,No,Denied
1,Female,58657,Yes,No,Denied
2,Male,97874,Yes,No,Approved
2,Male,77922,Yes,No,Approved
0,Male,79755,Yes,No,Approved
4,Female,37716,Yes,Yes,Denied
2,Female,95363,No,No,Approved
3,Female,40458,Yes,No,Denied
2,Female,39116,No,No,Denied
2,Male,54172,Yes,Yes,Denied
2,Male,112009,No,No,Approved
3,Male,91235,Yes,No,Approved
3,Female,95981,Yes,No,Approved
1,Female,74823,No,Yes,Denied
1,Male,55220,No,Yes,Denied
2,Male,103493,Yes,Yes,Approved
0,Female,48651,Yes,No,Denied
3,Male,98510,Yes,Yes,Approved
3,Male,99843,No,Yes,Approved
2,Female,49610,Yes,Yes,Denied
2,Male,74575,Yes,No,Denied
1,Male,62681,Yes,Yes,Denied
2,Male,57941,Yes,No,Denied
2,Male,85912,Yes,Yes,Approved
4,Male,45441,No,Yes,Denied
3,Female,94700,Yes,Yes,Approved
1,Male,119854,Yes,No,Approved
1,Male,60173,No,Yes,Denied
2,Female,98192,Yes,No,Approved
1,Female,57778,Yes,No,Denied
1,Female,64934,Yes,No,Denied
4,Female,96283,No,No,Approved
1,Male,105384,Yes,Yes,Approved
3,Female,70811,Yes,No,Denied
1,Female,46107,Yes,No,Denied
4,Male,62432,Yes,No,Denied
3,Male,110755,Yes,No,Approved
1,Female,60479,No,No,Denied
1,Female,67495,Yes,No,Denied
1,Female,99144,Yes,No,Approved
1,Female,46521,No,No,Denied
0,Male,45523,Yes,Yes,Denied
0,Male,78207,Yes,No,Approved
2,Male,115767,Yes,No,Approved
8,Male,64192,Yes,No,Denied
0,Female,77863,No,Yes,Denied
7,Female,96090,Yes,No,Approved
2,Female,99352,No,No,Approved
3,Female,65099,Yes,Yes,Denied
1,Male,57300,Yes,Yes,Denied
3,Male,116348,Yes,Yes,Approved
3,Male,86926,Yes,Yes,Approved
3,Male,43969,No,Yes,Denied
4,Male,60148,Yes,Yes,Denied
2,Male,92929,Yes,Yes,Approved
2,Female,44957,No,Yes,Denied
3,Male,69205,Yes,Yes,Denied
0,Female,94621,No,No,Approved
3,Male,40880,Yes,Yes,Denied
2,Female,45443,No,Yes,Denied
2,Male,79171,Yes,Yes,Approved
0,Male,83436,Yes,Yes,Approved
3,Male,115939,Yes,No,Approved
1,Male,67197,Yes,No,Denied
1,Female,43830,No,No,Denied
3,Male,103249,No,Yes,Approved
2,Female,36244,No,Yes,Denied
5,Male,100720,Yes,Yes,Approved
2,Female,36039,Yes,No,Denied
4,Male,70865,Yes,No,Denied
3,Male,40238,Yes,No,Denied
1,Male,57776,Yes,No,Denied
3,Female,74553,No,No,Denied
0,Male,109620,Yes,No,Approved
2,Female,50591,Yes,No,Denied
6,Male,92663,Yes,Yes,Approved
0,Male,57620,Yes,Yes,Denied
3,Male,74462,Yes,Yes,Approved
3,Female,73651,Yes,Yes,Denied
0,Male,59919,No,No,Denied
2,Male,102260,Yes,No,Approved
5,Female,97392,Yes,No,Approved
3,Female,71894,Yes,No,Denied
1,Male,63793,Yes,Yes,Denied
0,Male,62800,No,Yes,Denied
1,Male,64017,Yes,No,Denied
4,Female,65941,Yes,Yes,Denied
2,Male,45618,Yes,Yes,Denied
3,Male,41144,No,No,Denied
0,Male,100079,Yes,No,Approved
1,Female,33537,No,Yes,Denied
2,Male,103535,Yes,No,Approved
4,Female,60742,No,No,Denied
5,Female,47398,Yes,No,Denied
0,Female,53696,No,No,Denied
2,Male,85546,Yes,Yes,Approved
1,Male,109011,Yes,Yes,Approved
2,Male,100589,Yes,Yes,Approved
2,Female,45667,Yes,No,Denied
0,Male,72287,Yes,No,Denied
3,Male,108769,No,No,Approved
0,Male,118861,Yes,Yes,Approved
1,Male,96325,Yes,Yes,Approved
1,Male,106522,Yes,Yes,Approved
4,Female,71082,No,No,Denied
1,Male,99134,Yes,No,Approved
3,Male,61651,Yes,No,Denied
1,Female,33533,Yes,Yes,Denied
3,Male,109582,Yes,No,Approved
1,Male,112675,Yes,Yes,Approved
3,Male,51496,No,No,Denied
3,Female,89099,Yes,No,Denied
4,Male,90548,Yes,Yes,Approved
2,Female,63802,Yes,No,Denied
4,Male,106125,Yes,No,Approved
2,Female,70652,Yes,No,Denied
1,Male,48149,No,Yes,Denied
0,Male,106210,Yes,Yes,Approved
0,Female,36789,No,No,Denied
1,Female,94026,No,Yes,Approved
3,Male,110781,Yes,No,Approved
4,Male,88606,Yes,No,Approved
2,Male,96207,No,No,Approved
1,Female,79284,Yes,No,Denied
1,Female,70219,No,Yes,Denied
3,Female,39673,No,Yes,Denied
3,Male,88182,Yes,No,Approved
1,Female,39779,No,No,Denied
2,Male,64346,Yes,No,Denied
2,Male,106271,Yes,No,Approved
2,Male,95168,Yes,Yes,Approved
2,Male,41877,Yes,Yes,Denied
2,Male,98887,Yes,No,Approved
1,Male,65358,Yes,Yes,Denied
5,Female,71633,Yes,No,Denied
0,Male,99395,Yes,No,Approved
1,Male,64435,Yes,No,Denied
3,Male,42489,Yes,Yes,Denied
0,Male,71319,Yes,No,Denied
3,Male,101222,Yes,No,Approved
1,Male,95209,Yes,Yes,Approved
1,Male,56494,Yes,No,Denied
1,Female,66802,Yes,Yes,Denied
0,Male,53100,Yes,No,Denied
2,Female,58210,No,No,Denied
2,Female,54945,Yes,No,Denied
1,Male,93568,No,No,Approved
3,Female,46447,No,No,Denied
2,Male,111823,Yes,Yes,Approved
1,Female,71357,No,No,Denied
5,Male,119880,No,No,Approved
3,Male,73813,Yes,Yes,Approved
0,Female,52870,Yes,Yes,Denied
1,Male,116451,Yes,Yes,Approved
3,Female,88104,Yes,No,Denied
1,Female,31390,No,No,Denied
0,Female,39714,No,Yes,Denied
3,Female,33924,Yes,Yes,Denied
1,Male,104726,Yes,No,Approved
2,Male,40166,Yes,No,Denied
1,Female,66557,Yes,Yes,Denied
2,Female,40031,Yes,No,Denied
5,Female,74370,No,No,Denied
3,Male,118265,Yes,Yes,Approved
3,Female,85413,Yes,No,Approved
4,Female,34759,No,No,Denied
2,Female,92155,No,No,Approved
1,Male,114811,Yes,Yes,Approved
6,Male,71984,Yes,Yes,Approved
4,Male,55344,Yes,Yes,Denied
5,Male,92658,Yes,Yes,Approved
1,Male,98476,No,Yes,Approved
1,Female,74249,Yes,No,Denied
0,Male,105327,Yes,Yes,Approved
2,Male,60690,Yes,Yes,Denied
2,Female,34624,Yes,No,Denied
1,Male,117543,Yes,Yes,Approved
2,Female,46742,No,Yes,Denied
0,Male,104942,No,No,Approved
2,Male,46826,Yes,No,Denied
2,Male,86027,Yes,Yes,Approved
0,Male,59616,Yes,No,Denied
3,Female,46939,Yes,No,Denied
0,Male,109790,Yes,No,Approved
3,Female,88654,Yes,Yes,Approved
1,Male,106559,Yes,Yes,Approved
2,Male,50841,Yes,No,Denied
5,Female,96432,No,Yes,Approved
2,Male,109176,Yes,Yes,Approved
0,Female,59440,No,No,Denied
2,Male,46015,Yes,Yes,Denied
1,Male,44818,Yes,Yes,Denied
4,Female,86632,Yes,Yes,Approved
3,Male,80664,No,No,Approved
3,Female,56314,Yes,No,Denied
3,Female,98685,No,No,Approved
2,Female,82774,Yes,Yes,Approved
0,Male,100342,Yes,Yes,Approved
2,Female,79865,No,No,Denied
0,Male,110466,Yes,Yes,Approved
0,Male,116825,Yes,No,Approved
3,Female,33284,Yes,No,Denied
2,Female,56594,No,No,Denied
0,Female,74078,No,Yes,Denied
2,Female,43318,No,No,Denied
2,Female,34029,Yes,Yes,Denied
0,Male,69349,No,No,Denied
3,Female,91076,Yes,Yes,Approved
